,station,net_entries,net_exits,cdtaCode,borough
135,b'way_lafayette,20363,20363,MN02,Manhattan
136,bay_50_st,3072,3072,BK13,Brooklyn
137,bay_pkwy,19564,19564,BK12,Brooklyn
138,bay_ridge_95_st,9301,9301,BK10,Brooklyn
139,bay_ridge_av,8256,8256,BK10,Brooklyn
140,baychester_av,3078,3078,BX12,Bronx
141,beach_105_st,5165,5165,QN14,Queens
142,beach_25_st,5180,5180,QN14,Queens
143,beach_36_st,5166,5166,QN14,Queens
144,beach_44_st,5013,5013,QN14,Queens
145,beach_60_st,4978,4978,QN14,Queens
146,beach_67_st,5150,5150,QN14,Queens
147,beach_90_st,5011,5011,QN14,Queens
148,beach_98_st,5076,5076,QN14,Queens
149,bedford_av,17514,17514,BK01,Brooklyn
150,bedford_nostran,7214,7214,BK03,Brooklyn
151,bedford_pk_blvd,14339,14339,BX07,Bronx
152,bergen_st,21519,21519,BK06,Brooklyn
153,beverley_road,3065,3065,BK14,Brooklyn
154,beverly_rd,4097,4097,BK17,Brooklyn
155,bleecker_st,9211,9211,MN02,Manhattan
156,borough_hall,27491,27491,BK02,Brooklyn
157,botanic_garden,4075,4075,BK09,Brooklyn
158,bowery,3068,3068,MN03,Manhattan
159,bowling_green,29814,29814,MN01,Manhattan
160,briarwood,8036,8036,QN09,Queens
161,brighton_beach,14390,14390,BK13,Brooklyn
162,broad_channel,3085,3085,QN14,Queens
163,broad_st,12141,12141,MN01,Manhattan
164,broadway,10077,10077,QN01,Queens
165,broadway_jct,7135,7135,BK16,Brooklyn
166,bronx_park_east,2976,2976,BX06,Bronx
167,brook_av,7046,7046,BX01,Bronx
168,brooklyn_bridge,17404,17404,MN01,Manhattan
169,buhre_av,6097,6097,BX10,Bronx
170,burke_av,3075,3075,BX12,Bronx
171,burnside_av,5089,5089,BX05,Bronx
172,bushwick_av,3063,3063,BK04,Brooklyn
173,canal_st,59619,59619,MN02,Manhattan
174,canarsie_rockaw,15432,15432,BK18,Brooklyn
175,carroll_st,11227,11227,BK06,Brooklyn
176,castle_hill_av,7097,7097,BX10,Bronx
177,cathedral_pkwy,14353,14353,MN07,Manhattan
178,central_av,4096,4096,BK04,Brooklyn
179,central_pk_n110,6150,6150,MN10,Manhattan
180,chambers_st,55675,55675,MN01,Manhattan
181,chauncey_st,2979,2979,BK16,Brooklyn
182,christopher_st,9934,9934,MN02,Manhattan
183,church_av,38285,38285,BK17,Brooklyn
184,city___bus,22078,22078,MN01,Manhattan
185,city_hall,9209,9209,MN01,Manhattan
186,clark_st,3199,3199,BK02,Brooklyn
187,classon_av,3057,3057,BK02,Brooklyn
188,cleveland_st,2028,2028,BK05,Brooklyn
189,clinton_wash_av,19714,19714,BK02,Brooklyn
190,coney_is_stillw,20636,20636,BK13,Brooklyn
191,cortelyou_rd,3075,3075,BK14,Brooklyn
192,cortlandt_st,40195,40195,MN01,Manhattan
193,court_sq,24665,24665,QN02,Queens
194,court_sq_23_st,10290,10290,BK02,Brooklyn
195,crescent_st,3030,3030,BK05,Brooklyn
196,crown_hts_utica,18356,18356,BK09,Brooklyn
197,cypress_av,6051,6051,BX01,Bronx
198,cypress_hills,3069,3069,BK05,Brooklyn
199,dekalb_av,21648,21648,BK04,Brooklyn
200,delancey_essex,19336,19336,MN03,Manhattan
201,ditmas_av,8039,8039,BK12,Brooklyn
202,dyckman_st,9203,9203,MN12,Manhattan
203,e_143_st_mary's,6167,6167,BX01,Bronx
204,e_149_st,6136,6136,BX02,Bronx
205,e_180_st,6181,6181,BX06,Bronx
206,east_105_st,4074,4074,BK05,Brooklyn
207,east_broadway,11034,11034,MN03,Manhattan
208,eastchster_dyre,5109,5109,BX12,Bronx
209,eastn_pkwy_musm,9293,9293,BK55,Brooklyn
210,elder_av,6056,6056,BX09,Bronx
211,elmhurst_av,12261,12261,QN04,Queens
212,euclid_av,8242,8242,BK05,Brooklyn
213,exchange_place,20156,20156,,
214,far_rockaway,7226,7226,QN14,Queens
215,flatbush_av_b.c,20545,20545,BK14,Brooklyn
216,flushing_av,16418,16418,BK03,Brooklyn
217,flushing_main,26358,26358,QN07,Queens
218,fordham_rd,16495,16495,BX07,Bronx
219,forest_ave,3070,3070,QN05,Queens
220,forest_hills_71,23780,23780,QN06,Queens
221,franklin_av,17397,17397,BK09,Brooklyn
222,franklin_st,8213,8213,MN01,Manhattan
223,freeman_st,6143,6143,BX03,Bronx
224,fresh_pond_rd,8215,8215,QN05,Queens
225,ft_hamilton_pky,23589,23589,BK12,Brooklyn
226,fulton_st,97868,97868,MN01,Manhattan
227,gates_av,3059,3059,BK04,Brooklyn
228,graham_av,6102,6102,BK01,Brooklyn
229,grand_army_plaz,4088,4088,BK06,Brooklyn
230,grand_newtown,12099,12099,QN04,Queens
231,grand_st,13189,13189,MN03,Manhattan
232,grant_av,4086,4086,BK05,Brooklyn
233,grd_cntrl_42_st,94473,94473,MN06,Manhattan
234,greenpoint_av,13696,13696,BK01,Brooklyn
235,grove_street,18047,18047,,
236,gun_hill_rd,14004,14004,BX12,Bronx
237,halsey_st,11281,11281,QN05,Queens
238,harlem_148_st,3040,3040,MN10,Manhattan
239,harrison,19459,19459,,
240,hewes_st,7039,7039,BK01,Brooklyn
241,high_st,5846,5846,BK02,Brooklyn
242,houston_st,16348,16348,MN02,Manhattan
243,howard_bch_jfk,15869,15869,QN83,Queens
244,hoyt_scher,4772,4772,BK02,Brooklyn
245,hoyt_st,12275,12275,BK02,Brooklyn
246,hunters_pt_av,10086,10086,QN02,Queens
247,hunts_point_av,10302,10302,BX02,Bronx
248,intervale_av,3085,3085,BX02,Bronx
249,inwood_207_st,11344,11344,MN12,Manhattan
250,jackson_av,5142,5142,BX01,Bronx
251,jamaica_179_st,25696,25696,QN12,Queens
252,jamaica_center,20629,20629,QN12,Queens
253,jamaica_van_wk,7093,7093,QN09,Queens
254,jay_st_metrotec,39012,39012,BK02,Brooklyn
255,jefferson_st,5130,5130,BK04,Brooklyn
256,jfk_jamaica_ct1,9954,9954,QN12,Queens
257,jksn_ht_roosvlt,21285,21285,QN04,Queens
258,journal_square,24225,24225,,
259,junction_blvd,11434,11434,QN04,Queens
260,junius_st,4096,4096,BK16,Brooklyn
261,kew_gardens,20102,20102,QN81,Queens
262,kings_hwy,30807,30807,BK15,Brooklyn
263,kingsbridge_rd,17448,17448,BX07,Bronx
264,kingston_av,3078,3078,BK09,Brooklyn
265,kingston_throop,6025,6025,BK03,Brooklyn
266,knickerbocker,4086,4086,BK04,Brooklyn
267,kosciuszko_st,3064,3064,BK04,Brooklyn
268,lackawanna,22297,22297,BK16,Brooklyn
269,lafayette_av,10280,10280,BK02,Brooklyn
270,lexington_av_53,32394,32394,MN06,Manhattan
271,lexington_av_63,18639,18639,MN08,Manhattan
272,liberty_av,3110,3110,BK05,Brooklyn
273,livonia_av,6052,6052,BK16,Brooklyn
274,longwood_av,6135,6135,BX02,Bronx
275,lorimer_st,15221,15221,BK01,Brooklyn
276,marble_hill_225,5070,5070,BX08,Bronx
277,marcy_av,17349,17349,BK01,Brooklyn
278,metropolitan_av,18576,18576,BK01,Brooklyn
279,mets_willets_pt,36949,36949,QN81,Queens
280,middletown_rd,6202,6202,BX10,Bronx
281,montrose_av,3049,3049,BK01,Brooklyn
282,morgan_av,6079,6079,BK01,Brooklyn
283,morisn_av_sndvw,6043,6043,BX09,Bronx
284,morris_park,2995,2995,BX11,Bronx
285,mosholu_pkwy,9241,9241,BX07,Bronx
