service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BSP22GEN-R092-Weekday-00,1,1,1,1,1,0,0,20220627,20221202
SIR-FA2017-SI017-Weekday-08,1,1,1,1,1,0,0,20220627,20221202
ASP22GEN-1038-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
ASP22GEN-2042-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
ASP22GEN-3039-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
ASP22GEN-4043-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
ASP22GEN-5043-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
ASP22GEN-6033-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
ASP22GEN-7023-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
BSP22GEN-A046-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
BSP22GEN-C025-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
BSP22GEN-D039-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
BSP22GEN-E041-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
BSP22GEN-F044-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
BSP22GEN-FS011-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
BSP22GEN-G036-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
ASP22GEN-GS013-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
BSP22GEN-H026-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
BSP22GEN-J032-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
BSP22GEN-L022-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
BSP22GEN-M024-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
BSP22GEN-N056-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
BSP22GEN-Q021-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
BSP22GEN-R051-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
SIR-FA2017-SI017-Saturday-00,0,0,0,0,0,1,0,20220702,20221203
SIR-FA2018-SI017-Saturday-00,0,0,0,0,0,1,0,20220704,20220704
SIR-FA2018-SI017-Sunday-00,0,0,0,0,0,0,1,20220905,20220905
SIR-SP2018-SI017-Sunday-00,0,0,0,0,0,0,1,20221124,20221124
